,Contract ID,Contracting Agency ID,Number of Sub-Award Transactions,Sub-Award Obligation Sum,Percent of Prime Award (Sub-Award)
2767,W9126G22C0037,2100,Empty,Empty,Empty
2768,W912DQ22C4022,2100,Empty,Empty,Empty
2769,W52P1J12C3005,2100,Empty,Empty,Empty
2770,VA257C0528,3600,Empty,Empty,Empty
2771,N6927203C2013,1700,Empty,Empty,Empty
2772,VA262C0981,3600,Empty,Empty,Empty
2773,75N99024C00005,7529,Empty,Empty,Empty
2774,VA250C0237,3600,Empty,Empty,Empty
2775,GS11P06YTC0312,4740,Empty,Empty,Empty
2776,W9125F05C0002,2100,Empty,Empty,Empty
2777,W912QR11C0022,2100,Empty,Empty,Empty
2778,W5J9JE16C0011,2100,Empty,Empty,Empty
2779,HHSD200200301311C,7523,Empty,Empty,Empty
2780,HHSI24120040021C,7520,Empty,Empty,Empty
2781,N6945018C7215,1700,Empty,Empty,Empty
2782,W9124Q06C0118,2100,Empty,Empty,Empty
2783,VA257C00348A,3600,Empty,Empty,Empty
2784,GS05P13SLC0013,4740,Empty,Empty,Empty
2785,VA24816C0210,3600,Empty,Empty,Empty
2786,INPC1590100034,1443,Empty,Empty,Empty
2787,36C25818C0067,3600,Empty,Empty,Empty
2788,36E77619C0063,3600,Empty,Empty,Empty
2789,DTFAWN11C00340,6920,Empty,Empty,Empty
2790,GS02P06PWC0028,4740,Empty,Empty,Empty
2791,GS08P12JFC0142,4740,Empty,Empty,Empty
2792,36C24623C0005,3600,Empty,Empty,Empty
2793,GS10P07XJC0076,4740,Empty,Empty,Empty
2794,W5K9FH11C0270,2100,Empty,Empty,Empty
2795,W50S9824C0005,2100,Empty,Empty,Empty
2796,AG9A40C110035,12C2,Empty,Empty,Empty
2797,W912JM08C0010,2100,Empty,Empty,Empty
2798,VA255C0761,3600,Empty,Empty,Empty
2799,SAQMMA15C0271,1900,,,
2800,FA460817C0004,5700,Empty,Empty,Empty
2801,V246C00233,3600,0,$0,0%
2802,36C25622C0042,3600,0,$0,0%
2803,EPC06016,6800,0,$0,0%
2804,N6247308C3551,1700,Empty,Empty,Empty
2805,GS09P16WAC7017,4740,0,$0,0%
2806,GS11P07YTC0487,4740,,,
2807,N6945009C1782,1700,Empty,Empty,Empty
2808,N6945009C4584,1700,Empty,Empty,Empty
2809,W91B4N11C8035,2100,,,
2810,TOS13F026,2001,,,
2811,AG32SDC160053,12H2,,,
2812,FA521522C0012,5700,Empty,Empty,Empty
2813,W5J9JE13C0006,2100,0,$0,0%
2814,N4008013C1615,1700,Empty,Empty,Empty
2815,N6945009C3592,1700,Empty,Empty,Empty
2816,FA500020C0040,5700,Empty,Empty,Empty
2817,N4008308C0054,1700,Empty,Empty,Empty
2818,N4008509C0032,1700,Empty,Empty,Empty
2819,FA309924C0006,5700,Empty,Empty,Empty
2820,GS08P06JBP3056,4740,Empty,Empty,Empty
2821,VA263C1025,3600,0,$0,0%
2822,GS08P10VJC0093,4740,0,$0,0%
2823,N6247314C0406,1700,Empty,Empty,Empty
2824,N6247005C6631,1700,Empty,Empty,Empty
2825,FA813723C0008,5700,Empty,Empty,Empty
2826,FA442713C0102,5700,Empty,Empty,Empty
2827,DOLJ041A000020,1630,Empty,Empty,Empty
2828,W5J9JE11C0110,2100,0,$0,0%
2829,47PM1020C0015,4740,,,
2830,FA485515C0044,5700,Empty,Empty,Empty
2831,VA24414C0314,3600,,,
2832,W52P1J22C5001,2100,0,$0,0%
2833,1240LT24C0038,12C2,,,
2834,W91JA411C7121,2100,0,$0,0%
2835,W9124B19C0019,2100,,,
2836,33330224CF0010404,3300,,,
2837,VA261C0606,3600,0,$0,0%
2838,47PD1023C0002,4740,,,
2839,W9123820C0005,2100,,,
2840,W912DR19C0057,2100,,,
2841,W912JV05C0007,2100,0,$0,0%
2842,GS04P10EXC0057,4740,0,$0,0%
2843,HQ003417C0015,97F5,Empty,Empty,Empty
2844,W912JA06C0003,2100,0,$0,0%
2845,AG50438450400,12H2,0,$0,0%
2846,GS09P11WHM0055,4740,0,$0,0%
2847,N6945010C6828,1700,Empty,Empty,Empty
2848,VA248C1071,3600,0,$0,0%
2849,W90U4210C4152,2100,,,
2850,W912HN06C0062,2100,Empty,Empty,Empty
2851,GS03P15AZC7016,4740,,,
2852,GS09P08KZC0020,4740,,,
2853,DTFAWN16C00304,6920,,,
2854,47PJ0019C0016,4740,,,
2855,36C77624C0101,3600,0,$0,0%
2856,GS05P04SXM0009,4740,0,$0,0%
2857,FA875110C0021,5700,Empty,Empty,Empty
2858,GS09P12WJC0023,4740,0,$0,0%
2859,W9127S19C6005,2100,0,$0,0%
2860,DTFACN16C00061,6920,0,$0,0%
2861,W912JM08C0019,2100,Empty,Empty,Empty
2862,0236CC10566,3300,0,$0,0%
2863,W913FT09C0047,2100,,,
2864,FA500004C0020,5700,Empty,Empty,Empty
2865,GS04P05EXC3002,4740,0,$0,0%
2866,VA243RA0843,3600,,,
2867,GS11P14MKM0029,4740,0,$0,0%
2868,FA446011C0006,5700,Empty,Empty,Empty
2869,VA244C0084,3600,0,$0,0%
2870,W912HN20C4000,2100,,,
2871,GS11P08YTC0142,4740,,,
2872,47PM1022C0003,4740,Empty,Empty,Empty
2873,140P5423C0024,1443,,,
2874,FA940110C0020,5700,Empty,Empty,Empty
2875,GS03P12AZC0029,4740,,,
2876,20000200304DC8000030901,1443,Empty,Empty,Empty
2877,W912LC12C0009,2100,0,$0,0%
2878,VA25613C0243,3600,0,$0,0%
2879,W912QR15C0021,2100,,,
2880,GS11P15YEP0133,4740,Empty,Empty,Empty
2881,GS09P08WLC0038,4740,Empty,Empty,Empty
2882,VA24312C0200,3600,Empty,Empty,Empty
2883,FA480319CA016,5700,Empty,Empty,Empty
2884,N6945024C0092,1700,Empty,Empty,Empty
2885,N6945012C1261,1700,Empty,Empty,Empty
2886,FA813721C0034,5700,Empty,Empty,Empty
2887,GS02P09DTC0018,4740,Empty,Empty,Empty
2888,N6247308C3547,1700,Empty,Empty,Empty
2889,N4008516C1412,1700,Empty,Empty,Empty
2890,N0017820C2301,1700,Empty,Empty,Empty
2891,GS06P09TKC0023,4740,Empty,Empty,Empty
2892,VA249C0233,3600,Empty,Empty,Empty
2893,VA246C0498,3600,Empty,Empty,Empty
2894,GS03P12QPC0005,4740,Empty,Empty,Empty
2895,GS11P13YTC0370,4740,Empty,Empty,Empty
2896,W912R110C0008,2100,Empty,Empty,Empty
2897,W5J9JE16C0034,2100,Empty,Empty,Empty
2898,GS03P04AZC0030,4740,Empty,Empty,Empty
2899,FA281620C0015,5700,Empty,Empty,Empty
2900,GS09P03KTC0100,4740,Empty,Empty,Empty
