,Contract ID,Contracting Agency ID,Number of Sub-Award Transactions,Sub-Award Obligation Sum,Percent of Prime Award (Sub-Award)
6269,W912BU20C0032,2100,,,
6270,FA460811C0029,5700,Empty,Empty,Empty
6271,GY000200309DGS06P03GYC0021,4740,Empty,Empty,Empty
6272,W5K9FH12C0144,2100,Empty,Empty,Empty
6273,W912CL11C0009,2100,,,
6274,VA24616C0002,3600,0,$0,0%
6275,W9136417C0001,2100,Empty,Empty,Empty
6276,W912HZ07C0015,2100,Empty,Empty,Empty
6277,V247C0402,3600,,,
6278,GS03P09AZC0016,4740,0,$0,0%
6279,GS04P06EXC0110,4740,0,$0,0%
6280,36C26223C0287,3600,Empty,Empty,Empty
6281,W917BG06C0176,2100,0,$0,0%
6282,47PM0518C0040,4740,,,
6283,W9124V14C0004,2100,,,
6284,GS11P06MAC0200,4740,,,
6285,140P4318C0058,1443,,,
6286,1630DC20C0005,1630,Empty,Empty,Empty
6287,VA249C0963,3600,Empty,Empty,Empty
6288,VA26012C0016,3600,0,$0,0%
6289,N4008014C2025,1700,Empty,Empty,Empty
6290,N6945009C2534,1700,Empty,Empty,Empty
6291,GS11P13ZGC0150,4740,0,$0,0%
6292,W5K9UR11C7020,2100,0,$0,0%
6293,DABQ0603C0017,2100,Empty,Empty,Empty
6294,GS06P07THC0067,4740,,,
6295,DOLOPS15C0083,1605,Empty,Empty,Empty
6296,19AQMM21C0090,1900,Empty,Empty,Empty
6297,W9124Q07C0543,2100,Empty,Empty,Empty
6298,N4008011C1014,1700,Empty,Empty,Empty
6299,VA69DRA1162,3600,Empty,Empty,Empty
6300,47PK0622C0006,4740,Empty,Empty,Empty
6301,W912QR22C0025,2100,Empty,Empty,Empty
6302,V568C80757,3600,Empty,Empty,Empty
6303,N0042124C0023,1700,Empty,Empty,Empty
6304,GS10P07XJC0022,4740,Empty,Empty,Empty
6305,GS04P17EWC0019,4740,,,
6306,FA813719CA010,5700,Empty,Empty,Empty
6307,12805B19C0027,12H2,,,
6308,47PD1024C0001,4740,,,
6309,SCO20010C0008,1900,0,$0,0%
6310,GS04P07RQC0007,4740,0,$0,0%
6311,36C24224C0062,3600,Empty,Empty,Empty
6312,GS09P15KLC7004,4740,Empty,Empty,Empty
6313,FA665612C0004,5700,Empty,Empty,Empty
6314,GS00P13LYC0005,4740,,,
6315,N6274218C6551,1700,Empty,Empty,Empty
6316,V618C1297,3600,Empty,Empty,Empty
6317,GS04P06EXC0030,4740,Empty,Empty,Empty
6318,W91B4M09C4087,2100,Empty,Empty,Empty
6319,W5KA4N10C0022,2100,,,
6320,HSCGG117CPRV130,7008,,,
6321,W912QR06C0053,2100,,,
6322,VA69D13C0131,3600,0,$0,0%
6323,DOCSB134108CN0025,1341,,,
6324,W911KB19C0038,2100,,,
6325,47PM0518C0022,4740,Empty,Empty,Empty
6326,47PD0418C0013,4740,Empty,Empty,Empty
6327,DJB21451069,1540,Empty,Empty,Empty
6328,36C26224C0316,3600,Empty,Empty,Empty
6329,VA241C2135,3600,Empty,Empty,Empty
6330,VA244C0995,3600,Empty,Empty,Empty
6331,VA25016C0105,3600,Empty,Empty,Empty
6332,W9124Q06C0285,2100,Empty,Empty,Empty
6333,W912PQ16C0012,2100,Empty,Empty,Empty
6334,W5J9LE11C0025,2100,Empty,Empty,Empty
6335,36C25618C0140,3600,Empty,Empty,Empty
6336,VA257C00538A,3600,Empty,Empty,Empty
