Contract ID,Contracting Agency ID,Number of Sub-Award Transactions,Sub-Award Obligation Sum,Percent of Prime Award (Sub-Award)
W912PP19C0019,2100,Empty,Empty,Empty
36C25923C0030,3600,Empty,Empty,Empty
W9124A23C0011,2100,Empty,Empty,Empty
W912QR16C0018,2100,Empty,Empty,Empty
INR10PC20733,1425,Empty,Empty,Empty
INPC5292099741,1443,Empty,Empty,Empty
W912PP14C0056,2100,Empty,Empty,Empty
GS09P10KLC0008,4740,Empty,Empty,Empty
SP451010C3001,97AS,Empty,Empty,Empty
VA250RA0456,3600,Empty,Empty,Empty
FA813721C0013,5700,Empty,Empty,Empty
N4008023C0015,1700,Empty,Empty,Empty
N4008309C1024,1700,Empty,Empty,Empty
FA700022C0015,5700,Empty,Empty,Empty
N4008510C9425,1700,Empty,Empty,Empty
FA301024C0005,5700,Empty,Empty,Empty
FA252111C0077,5700,Empty,Empty,Empty
W912DQ08C0002,2100,Empty,Empty,Empty
F4265003C0090,5700,Empty,Empty,Empty
HHSN292200800011C,7529,Empty,Empty,Empty
N6945017C5219,1700,Empty,Empty,Empty
75H70119C00017,7527,Empty,Empty,Empty
V691C04688A,3600,Empty,Empty,Empty
GS01P07NFC0017,4740,Empty,Empty,Empty
W91WAW07C0017,2100,Empty,Empty,Empty
GS11P07MKC0061,4740,Empty,Empty,Empty
HSCG8204C3WCA42,7008,Empty,Empty,Empty
GS08P09VEP0047,4740,Empty,Empty,Empty
W9123610C0037,2100,Empty,Empty,Empty
FA301017C0009,5700,Empty,Empty,Empty
VA26312C0251,3600,Empty,Empty,Empty
FA282319CA071,5700,Empty,Empty,Empty
N4008513C1369,1700,Empty,Empty,Empty
70FA2024C00000006,7022,Empty,Empty,Empty
FA480010C0019,5700,Empty,Empty,Empty
FA282322C0023,5700,Empty,Empty,Empty
FA255013C1016,5700,Empty,Empty,Empty
33330219CF0010422,3300,Empty,Empty,Empty
GS11P17YTC0016,4740,Empty,Empty,Empty
N4008010C3004,1700,Empty,Empty,Empty
N6247306C6582,1700,Empty,Empty,Empty
FA665607C0006,5700,Empty,Empty,Empty
HQ003408L1077,97F5,Empty,Empty,Empty
VA248C1329,3600,Empty,Empty,Empty
N4008308C1009,1700,Empty,Empty,Empty
DOCSB134117CN0023,1341,Empty,Empty,Empty
W52P1J19C0050,2100,Empty,Empty,Empty
36C24221C0086,3600,Empty,Empty,Empty
W9126G21C0012,2100,Empty,Empty,Empty
00243200307DV10N3C2408A,3600,Empty,Empty,Empty
V244C00216,3600,Empty,Empty,Empty
FA466409C0028,5700,Empty,Empty,Empty
VA24816C0196,3600,Empty,Empty,Empty
N4008009C0532,1700,Empty,Empty,Empty
SJM37006R0016,1900,Empty,Empty,Empty
HQ009504C0031,97F5,Empty,Empty,Empty
N4008018C2019,1700,Empty,Empty,Empty
N0042122C0041,1700,Empty,Empty,Empty
N6246703C2938,1700,Empty,Empty,Empty
EPC13020,6800,Empty,Empty,Empty
W912C704C0002,2100,Empty,Empty,Empty
HQ072715C1512,9771,Empty,Empty,Empty
W9126G18C0031,2100,Empty,Empty,Empty
W911S714C0035,2100,Empty,Empty,Empty
W91B4M10C4071,2100,Empty,Empty,Empty
GS03P15PSC0017,4740,Empty,Empty,Empty
V520C5318ATO8,3600,Empty,Empty,Empty
AG3K15C100028,12H2,Empty,Empty,Empty
V246C00407,3600,Empty,Empty,Empty
VA69D16C0267,3600,Empty,Empty,Empty
